location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,Car Parking,city,property_type,price_per_sqft,amenity_count
Vasundhara,1350.0,6200000.0,INR,1.0,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has a salable area of 1350 sqft and is available at a price of Rs. 4,592 per sqft. It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. Please contact for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4592.59,1
Vasundhara,1050.0,4000000.0,INR,Unknown,1.0,0.0,"A 2 bhk property is available for sale in Vasundhara, Ghaziabad. It has an area of 1050 sqft with a carpet area of 700 sqft . The property is available at a price of Rs. 40.00 lac . It is a semi-furnished property. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3809.52,1
Vasundhara,960.0,3200000.0,INR,Unknown,1.0,0.0,"A 2 bhk property is available for sale in Vasundhara, Ghaziabad. It has an area of 960 sqft with a carpet area of 779 sqft . The property is available at a price of Rs. 32.00 lac . The house is semi-furnished. It is northeast facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3333.33,1
Vasundhara,1375.0,6850000.0,INR,1.0,1.0,0.0,"It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4981.82,1
Vasundhara,1370.0,5825000.0,INR,1.0,1.0,0.0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has a built-up area of 1370 sqft and is priced at Rs. 58.25 lac . It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4251.82,1
Vasundhara,1600.0,8421000.0,INR,Unknown,1.0,0.0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1600 sqft and is available at a price of Rs. 5,263 per sqft. The house is semi-furnished. It is northeast facing property. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5263.12,1
Vasundhara,2250.0,10000000.0,INR,Unknown,1.0,0.0,"It has a salable area of 2250 sqft and is available at a price of Rs. 4,444 per sqft. The house is semi-furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4444.44,1
Vasundhara,1750.0,9850000.0,INR,1.0,1.0,0.0,"It’s a 4 bhk builder floor situated in Vasundhara, Ghaziabad. It has an area of 1750 sqft . The property is available at a price of Rs. 98.50 lac . It is a semi-furnished property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5628.57,1
Vasundhara,1450.0,6025000.0,INR,Unknown,1.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has a built-up area of 1450 sqft and is priced at Rs. 60.25 lac . It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4155.17,1
Vasundhara,1455.0,7125000.0,INR,Unknown,1.0,0.0,It’s a 3 bhk builder floor situated in Vasundhara. It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. It is well connected to the city areas. ,1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4896.91,1
Vasundhara,1460.0,8100000.0,INR,1.0,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1460 sqft and is available at a price of Rs. 5,547 per sqft. The house is semi-furnished. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5547.95,1
Vasundhara,1700.0,12400000.0,INR,Unknown,1.0,0.0,"Well designed 4 bhk builder floor is available at a prime location in Vasundhara. It has a salable area of 1700 sqft and is available at a price of Rs. 7,294 per sqft. The house is semi-furnished. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,7294.12,1
Vasundhara,1380.0,7800000.0,INR,Unknown,1.0,0.0,Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has an area of 1380 sqft with a carpet area of 1280 sqft . The property is available at a price of Rs. 78.00 lac . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact us for more details. ,1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5652.17,1
Vasundhara,1050.0,4400000.0,INR,Unknown,1.0,0.0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Vasundhara. It is a semi-furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4190.48,1
Vasundhara,850.0,3500000.0,INR,1.0,1.0,0.0,"It’s a 2 bhk builder floor situated in Vasundhara, Ghaziabad. It has a built-up area of 850 sqft and is priced at Rs. 35.00 lac . The house is semi-furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4117.65,1
Vasundhara,1260.0,6400000.0,INR,Unknown,1.0,0.0,Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has a built-up area of 1260 sqft and is priced at Rs. 64.00 lac . It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Please contact for more details. ,1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5079.37,1
Vasundhara,850.0,4740000.0,INR,1.0,1.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has a salable area of 850 sqft and is available at a price of Rs. 5,576 per sqft. It is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5576.47,0
Vasundhara,1050.0,5500000.0,INR,Unknown,1.0,0.0,Well designed 2 bhk builder floor is available at a prime location in Vasundhara. It has an area of 1050 sqft with a carpet area of 700 sqft . The property is available at a price of Rs. 55.00 lac . The house is semi-furnished. It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact for more details. ,1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5238.1,1
Vasundhara,1260.0,6000000.0,INR,1.0,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara, Ghaziabad. It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4761.9,1
Vasundhara,1100.0,6200000.0,INR,Unknown,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara, Ghaziabad. It has a built-up area of 1100 sqft and is priced at Rs. 62.00 lac . The house is semi-furnished. It is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5636.36,0
Vasundhara,1400.0,8500000.0,INR,Unknown,1.0,0.0,"It has a salable area of 1400 sqft and is available at a price of Rs. 6,071 per sqft. The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,6071.43,0
Vasundhara,960.0,5700000.0,INR,Unknown,1.0,0.0,"A 2 bhk property is available for sale in Vasundhara, Ghaziabad. It has a built-up area of 960 sqft and is priced at Rs. 57.00 lac . It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5937.5,0
Vasundhara,1200.0,7500000.0,INR,1.0,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara. It has a salable area of 1200 sqft and is available at a price of Rs. 6,250 per sqft. It is a semi-furnished property. It is northeast facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,6250.0,1
Vasundhara,1350.0,4950000.0,INR,1.0,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara, Ghaziabad. It has a built-up area of 1350 sqft and is priced at Rs. 49.50 lac . Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3666.67,1
Vasundhara,1450.0,7000000.0,INR,Unknown,1.0,0.0,It’s a 3 bhk builder floor situated in Vasundhara. It has an area of 1450 sqft with a carpet area of 1050 sqft . The property is available at a price of Rs. 70.00 lac . It is a semi-furnished property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ,1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4827.59,1
Vasundhara,1100.0,3450000.0,INR,Unknown,1.0,0.0,Well designed 2 bhk builder floor is available at a prime location in Vasundhara. It has an area of 1100 sqft with a carpet area of 855 sqft . The property is available at a price of Rs. 34.50 lac . This residential property is ready-to-move-in. It is made in way to provide a comfortable living. Please contact us for more details. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3136.36,0
Vasundhara,1100.0,3950000.0,INR,Unknown,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara, Ghaziabad. It has a built-up area of 1100 sqft and is priced at Rs. 39.50 lac . The house is semi-furnished. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3590.91,0
Vasundhara,950.0,3900000.0,INR,1.0,1.0,0.0,This spacious 2 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has an area of 950 sqft . The property is available at a price of Rs. 39.00 lac . Its main door is facing northeast direction. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4105.26,0
Vasundhara,1150.0,4600000.0,INR,Unknown,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara. It has a salable area of 1150 sqft and is available at a price of Rs. 4,000 per sqft. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4000.0,0
Vasundhara,1400.0,8000000.0,INR,Unknown,1.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Vasundhara. It has a salable area of 1400 sqft and is available at a price of Rs. 5,714 per sqft. The house is semi-furnished. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5714.29,0
Vasundhara,1250.0,6600000.0,INR,1.0,1.0,0.0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1250 sqft and is available at a price of Rs. 5,280 per sqft. The house is semi-furnished. Its main door is facing northeast direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5280.0,0
Vasundhara,1250.0,7100000.0,INR,1.0,1.0,0.0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. It is northeast facing property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5680.0,0
Vasundhara,1450.0,8150000.0,INR,Unknown,1.0,0.0,"It has a salable area of 1450 sqft and is available at a price of Rs. 5,620 per sqft. The house is semi-furnished. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5620.69,1
Vasundhara,1350.0,6500000.0,INR,1.0,1.0,0.0,It’s a 3 bhk builder floor situated in Vasundhara. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4814.81,0
Vasundhara,1850.0,11000000.0,INR,Unknown,1.0,0.0,"It’s a 4 bhk builder floor situated in Vasundhara, Ghaziabad. It has an area of 1850 sqft with a carpet area of 1600 sqft . The property is available at a price of Rs. 1.10 cr . The house is semi-furnished. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5945.95,1
Vasundhara,1150.0,4810000.0,INR,Unknown,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1150 sqft and is available at a price of Rs. 4,182 per sqft. The house is semi-furnished. It is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4182.61,1
Vasundhara,1350.0,5000000.0,INR,1.0,1.0,0.0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3703.7,1
Vasundhara,1050.0,4000000.0,INR,1.0,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1050 sqft and is available at a price of Rs. 3,809 per sqft. It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3809.52,0
Vasundhara,1050.0,5500000.0,INR,1.0,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5238.1,0
Vasundhara,1350.0,7100000.0,INR,1.0,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has an area of 1350 sqft . The property is available at a price of Rs. 71.00 lac . The house is semi-furnished. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5259.26,1
Vasundhara,1750.0,11800000.0,INR,Unknown,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara, Ghaziabad. It has an area of 1750 sqft with a carpet area of 1500 sqft . The property is available at a price of Rs. 1.18 cr . The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Kindly call us for details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,6742.86,1
Vasundhara,1050.0,3700000.0,INR,Unknown,1.0,0.0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has a salable area of 1050 sqft and is available at a price of Rs. 3,523 per sqft. It is a semi-furnished property. It is northeast facing property. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3523.81,0
Vasundhara,1375.0,7000000.0,INR,Unknown,1.0,0.0,"A 3 bhk property is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1375 sqft and is available at a price of Rs. 5,090 per sqft. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5090.91,1
Vasundhara,1600.0,8500000.0,INR,Unknown,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1600 sqft and is available at a price of Rs. 5,312 per sqft. It is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5312.5,0
Vasundhara,1400.0,6500000.0,INR,Unknown,1.0,0.0,"It’s a 3 bhk builder floor situated in Vasundhara. It has a built-up area of 1400 sqft and is priced at Rs. 65.00 lac . The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4642.86,1
Vasundhara,1400.0,7000000.0,INR,Unknown,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1400 sqft and is available at a price of Rs. 5,000 per sqft. The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5000.0,0
Vasundhara,1300.0,5100000.0,INR,1.0,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has a salable area of 1300 sqft and is available at a price of Rs. 3,923 per sqft. It is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3923.08,0
Vasundhara,1300.0,5080000.0,INR,1.0,1.0,0.0,This spacious 3 bhk builder floor is available for sale and is located in the heart of Vasundhara. It has an area of 1300 sqft . The property is available at a price of Rs. 50.80 lac . The house is semi-furnished. It is facing northeast direction. It is a ready-to-move-in property. The society is well connected by different modes of transportation. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,3907.69,0
Vasundhara,1100.0,4800000.0,INR,Unknown,1.0,0.0,It has a built-up area of 1100 sqft and is priced at Rs. 48.00 lac . It is a semi-furnished property. It is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4363.64,0
Vasundhara,1400.0,8185000.0,INR,Unknown,1.0,0.0,"A spacious 3 bhk builder floor is available for sale in Vasundhara, Ghaziabad. It has an area of 1400 sqft with a carpet area of 135 sqft . The property is available at a price of Rs. 81.85 lac . It is a semi-furnished property. It is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5846.43,0
Vasundhara,950.0,3800000.0,INR,1.0,1.0,0.0,Well designed 2 bhk builder floor is available at a prime location in Vasundhara. It has a built-up area of 950 sqft and is priced at Rs. 38.00 lac . It is northeast facing property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4000.0,0
Vasundhara,900.0,4300000.0,INR,1.0,1.0,0.0,The house is semi-furnished. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4777.78,0
Vasundhara,1790.0,12700000.0,INR,Unknown,1.0,0.0,"Well designed 4 bhk builder floor is available at a prime location in Vasundhara. It has a salable area of 1790 sqft and is available at a price of Rs. 7,094 per sqft. It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,7094.97,1
Vaishali,1750.0,11800000.0,INR,Unknown,1.0,0.0,"A 3 bhk property is available for sale in Vaishali, Ghaziabad. It has a salable area of 1750 sqft and is available at a price of Rs. 6,742 per sqft. The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,6742.86,0
Vaishali,950.0,4600000.0,INR,1.0,1.0,0.0,"This spacious 2 bhk builder floor is available for sale and is located in the heart of Vaishali. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4842.11,1
Vaishali,1800.0,11800000.0,INR,1.0,1.0,0.0,It has a built-up area of 1800 sqft and is priced at Rs. 1.18 cr . It is a semi-furnished property. Its main door is facing northeast direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ,1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,6555.56,0
Vaishali,1250.0,5950000.0,INR,1.0,1.0,0.0,"A 3 bhk property is available for sale in Vaishali, Ghaziabad. It has a salable area of 1250 sqft and is available at a price of Rs. 4,760 per sqft. The house is semi-furnished. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,Northeast,0.0,0,0,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4760.0,0
Vaishali,1350.0,7000000.0,INR,Unknown,1.0,0.0,"Well designed 3 bhk builder floor is available at a prime location in Vaishali. It is northeast facing property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,5185.19,1
Vaishali,1050.0,4200000.0,INR,1.0,1.0,0.0,"It’s a 2 bhk builder floor situated in Vaishali, Ghaziabad. It has an area of 1050 sqft . The property is available at a price of Rs. 42.00 lac . This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4000.0,1
Vaishali,1050.0,5200000.0,INR,1.0,1.0,0.0,"It is a semi-furnished property. Its main door is facing northeast direction. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1.0,Northeast,0.0,0,1,0,0,0,0,0,0,0,0,0,9.1,0.0,Ghaziabad,Builderfloor,4952.38,1
